KD-Nr.;Firma;Land;PLZ;Ort;UmsatzKL;Verk.;SP;SP2;Bl;Umsatz AJ;Umsatz VJ;Umsatz VVJ;l Besuch;UK;PN1;PN2;NKEB;WV;WV u;QB;VP
107.005;zafocdc;DE;30851;Geisenhausen;;8;;;;;;;19.07.2010;;;;;;;;
107.007;gkywatt;DE;66773;Rostock;;2;;;;;;;;;;;;;;;
107.008;yahnpqovhshfoxdoq;DE;48565;Regenstauf;;8;;;;;;;05.06.2013;;;;;;;;
107.009;qvymut;DE;94036;Buttstädt;;21;;;;;;;;;;;;;;;
107.010;tol;DE;79189;München;;3;;;;;;;16.07.2010;;;;;;;;
107.011;eejwophvxwknqiikp;DE;77855;Rosenheim ;;3;;;;;;;14.07.2011;;;;;;;;
107.013;vgtaajqcj;DE;54290;Würzburg;;14;;;;;;;21.08.2014;;;;;;;;
107.014;dqljsxw;DE;29378;Weisendorf;;12;;;;;;;12.03.2010;;;;;;;;
107.015;cvrpubin;DE;71394;Backnang;;33;;;;;;;27.03.2012;;;;;;;;
107.017;fbvd;DE;6712;Sulzbach-Rosenberg ;;44;;;;;;;;;;;;;;;
107.018;ptqiegbpnfbzuqd;DE;68519;Würzburg;;6;;;;;;;14.07.2014;;;;;;;;
107.019;hyqjxo;DE;48282;Dresden;;8;;;;;;;19.06.2013;;;;;;;;
107.020;nyssjzbiwnuakoqlu;DE;38518;Stuhr;;12;;;;;;;23.09.2011;;;;;;;;
107.022;ffabiqllqflxac;DE;26203;Wetzlar;;15;;;;;;;;;;;;;;;
107.024;cknr;DE;52511;München;;9;;;;;;;09.04.2015;;;;;;;;
107.025;aqkjxvzvvlstjf;DE;44369;Ilsenburg;;19;;;;;;;;;;;;;;;
107.026;aypgnpxceuzwe;DE;27299;Shaukeiwan/HongKong;;15;;;;;;;10.02.2015;;;;;;;;
107.028;zngnacxh;DE;75180;Schalksmühle;;2;;;;;;;;;;;;;;;
107.029;ibczqdmrhsmy;DE;21436;Fellbach;;15;;;;;;;;;;;;;;;
107.038;hvbesnywhrdnc;DE;90765;Gelsenkirchen;;10;;;;;;;18.04.2013;;;;;;;;
107.039;ufvdbflykbi;DE;74523;Elbingerode;;33;;;;;;;09.04.2015;;;;;;;;
107.041;cpeapgxspolpmhnihi;DE;9661;Nürnberg;;44;;;;;;;02.11.2012;;;;;;;;
107.042;nonbfwx;DE;1904;Lenzkirch;;44;;;;;;;;;;;;;;;
107.043;s;DE;91301;Dortmund;;10;;;;;;;20.03.2012;;;;;;;;
107.044;rjezjarcdr;DE;99885;Odenthal;;11;;;;;;;;;;;;;;;
107.045;jvrhyvbaqx;DE;58509;Bochum;;4;;;;;;;30.09.2014;;;;;;;;
107.046;byhkias;AT;6991;Braunschweig;;71;;;;;;;;;;;;;;;
107.047;l;DE;45879;Rückersdorf;;19;;;;;;;15.07.2013;;;;;;;;
107.049;zrj;DE;50321;Usti N.L.;;14;;;;;;;;;;;;;;;
107.050;pvrrpwg;DE;79346;Engstingen;;3;;;;;;;02.03.2011;;;;;;;;
107.051;bx;DE;37696;Nehren;;11;;;;;;;;;;;;;;;
107.052;pokecq;DE;81735;Chemnitz;;21;;;;;;;;;;;;;;;
107.054;erirejzzs;DE;79100;Frankfurt;;3;;;;;;;23.02.2010;;;;;;;;
107.055;htrawllksep;DE;94474;Aiterhofen;;21;;;;;;;;;;;;;;;
107.056;buvyvfnwvezlbdjs;DE;15370;Bad-Dürkheim;;17;;;;;;;29.07.2010;;;;;;;;
107.058;obzaoopxnfoglbulom;DE;4178;Bad Segeberg;;44;;;;;;;;;;;;;;;
107.060;b;DE;30159;Schwabach;;8;;;;;;;;;;;;;;;
107.065;ujdxmxpdxzaygktupa;DE;27472;Crailsheim;;15;;;;;;;03.03.2015;;;;;;;;
107.067;cwyie;DE;13585;Istanbul;;17;;;;;;;05.02.2010;;;;;;;;
107.068;p;DE;47661;München;;9;;;;;;;;;;;;;;;
107.070;eytqfbjvigdttojqq;DE;51149;Wuppertal;;60;;;;;;;;;;;;;;;
107.073;ppsejdwoeuuwxmv;DE;66917;Zossen;;2;;;;;;;;;;;;;;;
107.075;ptuspwrcatgjhkkrmu;DE;63791;Düsseldorf;;6;;;;;;;23.02.2011;;;;;;;;
107.076;in;DE;70734;Elmshorn;;33;;;;;;;25.02.2015;;;;;;;;
107.078;zya;DE;85435;München;;21;;;;;;;08.05.2015;;;;;;;;
107.079;fcwjtogoloqqi;DE;83395;Weeze;;21;;;;;;;;;;;;;;;
107.082;zqmvfdaiwdvu;DE;38685;Salem;;12;;;;;;;18.09.2014;;;;;;;;
107.084;ijxyzwscjphod;DE;60528;Kassel;;7;;;;;;;;;;;;;;;
107.085;kskzvmflgohbz;DE;45279;Bingen;;16;;;;;;;08.12.2014;;;;;;;;
107.086;iakyx;DE;47441;Oberhausen;;9;;;;;;;;;;;;;;;
107.087;gz;DE;24211;Battenberg;;5;;;;;;;25.03.2013;;;;;;;;
107.089;ommynlxir;DE;29439;Hadamar;;15;;;;;;;20.02.2014;;;;;;;;
107.092;slmbowngjg;DE;61440;Selbitz;;7;;;;;;;;;;;;;;;
107.093;ss;DE;92237;Tübingen;;10;;;;;;;;;;;;;;;
107.094;ntkltusqzhdqnm;DE;66589;Schriesheim;;2;;;;;;;;;;;;;;;
107.095;ivucxcsuvk;DE;92224;Lichtenstein;;10;;;;;;;19.08.2009;;;;;;;;
107.098;duemnvscia;DE;89407;Lutherstadt Eisleben;;22;;;;;;;30.01.2012;;;;;;;;
107.101;mxngho;DE;26180;Iserlohn-Dröschede;;15;;;;;;;;;;;;;;;
107.102;guzcrnvhyrxfzowdf;DE;23566;Brühl;;5;;;;;;;;;;;;;;;
107.103;umwljuylfcsoolh;DE;74653;Warstein-Belecke;;33;;;;;;;;;;;;;;;
107.104;fgwqirijkmatxl;DE;44225;München;;19;;;;;;;04.05.2015;;;;;;;;
107.105;dn;DE;44328;München;;19;;;;;;;08.05.2012;;;;;;;;
107.107;frvgcvagojhtwp;DE;78462;Bad Nauheim;;3;;;;;;;16.02.2011;;;;;;;;
107.109;faunnowvxubnkgu;DE;46286;Holzdorf/Ost;;19;;;;;;;28.10.2014;;;;;;;;
107.114;dthvcosqgyia;DE;9618;Kassel;;44;;;;;;;26.03.2015;;;;;;;;
107.116;qga;DE;74653;;;33;;;;;;;09.04.2015;;;;;;;;
107.117;qtcpnnec;DE;66424;Rosdorf;;2;;;;;;;;;;;;;;;
107.118;n;DE;63589;Hamburg;;60;;;;;;;;;;;;;;;
107.120;twurni;DE;50169;Viersen;;14;;;;;;;;;;;;;;;
107.123;btta;DE;51789;Bonn;;14;;;;;;;07.09.2010;;;;;;;;
107.128;klkyh;DE;97359;Paderborn;;10;;;;;;;;;;;;;;;
107.129;nsqjmk;DE;92660;Eppstein;;10;;;;;;;;;;;;;;;
107.131;esdhymgxxesn;DE;6842;Ebersbach;;44;;;;;;;07.06.2012;;;;;;;;
107.133;oqtwxaiiilvxbznxy;DE;35625;Olbendorf;;7;;;;;;;;;;;;;;;
107.135;kxqny;DE;23730;Siegburg;;90;;;;;;;;;;;;;;;
107.136;riznmrygts;DE;21365;Brensbach;;15;;;;;;;11.05.2015;;;;;;;;
107.137;ninrfspr;DE;12053;Nördlingen;;17;;;;;;;;;;;;;;;
107.140;u;DE;7426;Baunatal;;44;;;;;;;29.04.2014;;;;;;;;
107.143;xjd;DE;55131;Baden;;2;;;;;;;;;;;;;;;
107.144;s;DE;91227;Tutzing;;10;;;;;;;;;;;;;;;
107.146;j;DE;21423;Reinbek;;15;;;;;;;28.03.2014;;;;;;;;
107.147;utyrhgraatdqjxlir;DE;99947;Ulm;;11;;;;;;;;;;;;;;;
107.148;wsegustyneq;DE;89407;Paderborn;;22;;;;;;;13.01.2014;;;;;;;;
107.150;tkyhtril;DE;42857;Steinbach;;90;;;;;;;;;;;;;;;
107.155;sg;DE;82110;Woldegk;;22;;;;;;;28.11.2013;;;;;;;;
107.156;ufjmlvsdmuagdxzlzc;DE;81673;Villafranca d'Asti (AT);;21;;;;;;;21.09.2012;;;;;;;;
107.158;kqzdhcll;DE;55489;Engelskirchen;;14;;;;;;;23.04.2015;;;;;;;;
107.159;fsg;DE;79594;Neuburg/Donau;;3;;;;;;;;;;;;;;;
107.160;ahhrpjmkvoahiut;DE;31135;Fremdingen;;12;;;;;;;31.03.2015;;;;;;;;
107.161;foabebsytndmx;DE;81925;Wolfsburg;;21;;;;;;;05.03.2015;;;;;;;;
107.162;qimiv;DE;50969;Bad Langensalza;;14;;;;;;;;;;;;;;;
107.164;rcb;DE;68519;Bremen;;6;;;;;;;;;;;;;;;
107.166;uyvphfzmhajb;DE;53127;Lutherstadt Wittenberg;;14;;;;;;;;;;;;;;;
107.167;mzaaoqbgxbjmaclmr;DE;6449;Herten;;44;;;;;;;07.05.2015;;;;;;;;
107.168;sdpifvzyiww;DE;22299;Westerburg;;5;;;;;;;12.02.2015;;;;;;;;
107.174;funjlr;DE;82441;Gera;;22;;;;;;;06.04.2010;;;;;;;;
107.176;wpxxoag;DE;77948;Neuss;;3;;;;;;;16.11.2014;;;;;;;;
107.178;rozoc;DE;89073;Sangerhausen;;22;;;;;;;25.03.2014;;;;;;;;
107.179;mdqzixiefbtuqomjmt;DE;42103;Frankfurt;;16;;;;;;;27.11.2013;;;;;;;;
107.181;vhlprbdockhdfbtv;DE;97794;Berlin;;6;;;;;;;;;;;;;;;
107.182;ldkus;DE;91757;Wangen;;10;;;;;;;13.01.2015;;;;;;;;
107.183;mcoymsdxsju;DE;14467;Niedernberg;;17;;;;;;;10.02.2010;;;;;;;;
107.184;j;DE;97070;Essen;;10;;;;;;;19.03.2015;;;;;;;;
107.185;iyfmzbgxdkf;DE;63456;Halle;;6;;;;;;;;;;;;;;;
107.188;spolo;DE;59823;Kiel;;4;;;;;;;;;;;;;;;
107.189;thndtmsbsxpvp;DE;52064;Hille;;14;;;;;;;08.07.2013;;;;;;;;
107.190;kpayprhqfnqibmz;DE;73525;Brüggen;;33;;;;;;;03.04.2013;;;;;;;;
107.192;dbxjaqoc;DE;69181;Köln;;6;;;;;;;25.02.2015;;;;;;;;
107.193;kkzbuemln;DE;14169;Raschau;;17;;;;;;;;;;;;;;;
107.196;hzdq;DE;76865;Kittsee;;2;;;;;;;;;;;;;;;
107.197;jamgxfjylv;DE;91757;Neuwied;;10;;;;;;;13.01.2015;;;;;;;;
107.198;kg;DE;92353;Bottrop;;10;;;;;;;04.11.2011;;;;;;;;
107.199;numoqgi;DE;92353;Sebnitz;;10;;;;;;;04.11.2011;;;;;;;;
107.200;rjwmwilqwmtfntn;DE;28279;Wetter;;15;;;;;;;10.12.2012;;;;;;;;
107.201;ek;DE;95444;Ludwigsburg;;10;;;;;;;16.04.2015;;;;;;;;
107.202;mmbzncpcmj;DE;80935;Hannover-Kleefeld;;21;;;;;;;;;;;;;;;
107.203;bwuokiauxvx;DE;33378;Riezlern;;8;;;;;;;14.12.2009;;;;;;;;
107.204;dtnuzlxthfin;DE;76275;Waldkraiburg;;2;;;;;;;;;;;;;;;
107.208;eduit;DE;88138;Sinzheim;;22;;;;;;;;;;;;;;;
107.209;u;DE;33397;Ratzeburg;;8;;;;;;;;;;;;;;;
107.210;hxemqmatydzea;DE;23743;Hildburghausen;;5;;;;;;;20.06.2013;;;;;;;;
107.212;sbebvclplmlhrbmvll;DE;55411;Borken;;7;;;;;;;;;;;;;;;
107.213;eixezakuwpjqfxmbpt;DE;66557;Haar;;2;;;;;;;;;;;;;;;
107.217;sghugxwrfkrpuihq;DE;34613;Hamburg;;11;;;;;;;;;;;;;;;
107.220;knalzwvydyttuzsx;DE;47178;Eitorf;;19;;;;;;;11.09.2012;;;;;;;;
107.221;kjraetdq;DE;66773;Kleinmachnow;;2;;;;;;;;;;;;;;;
107.222;ta;DE;66359;Mönchengladbach;;2;;;;;;;10.05.2012;;;;;;;;
107.224;dnqdxlkj;DE;63739;Fürth;;6;;;;;;;06.05.2015;;;;;;;;
107.225;ksekruv;DE;65428;München;;7;;;;;;;;;;;;;;;
107.226;xlldpvjbh;DE;65428;Bamberg;;7;;;;;;;;;;;;;;;
107.230;kgyj;DE;88299;Gelsenkirchen;;22;;;;;;;18.02.2014;;;;;;;;
107.231;kbakxfakrvj;DE;91052;Municipiul Bucuresti Sector 6;;10;;;;;;;;;;;;;;;
107.233;ndgcbxfvrs;DE;81541;Neuss;;21;;;;;;;15.06.2009;;;;;;;;
107.234;cd;DE;63739;München;;6;;;;;;;07.10.2014;;;;;;;;
107.236;mtkiaqltiznl;DE;22113;Nienburg;;5;;;;;;;26.11.2014;;;;;;;;
107.237;zm;DE;44789;Wetzlar;;19;;;;;;;14.11.2012;;;;;;;;
107.238;vrgcumtunkgu;DE;51109;Seeheim-Jugenheim;;16;;;;;;;;;;;;;;;
107.240;lkgv;DE;89257;Waiblingen;;22;;;;;;;19.03.2014;;;;;;;;
107.243;zhzjxgijutv;DE;56068;Rosenheim;;14;;;;;;;09.08.2010;;;;;;;;
107.244;ehgxflezukkopaz;DE;88239;Bochum;;22;;;;;;;29.10.2009;;;;;;;;
107.245;gg;DE;90762;Annweiler;;10;;;;;;;10.12.2012;;;;;;;;
107.249;oxyrbl;DE;81679;Jeddah;;21;;;;;;;;;;;;;;;
107.250;sldwbnodjcic;DE;82377;Potsdam;;60;;;;;;;;;;;;;;;
107.253;zeunhrcofta;DE;64846;Waldshut-Tiengen;;6;;;;;;;;;;;;;;;
107.257;py;DE;61118;Nienburg;;7;;;;;;;;;;;;;;;
107.260;mjrqmklssb;DE;38300;Windeck-Dattenfeld;;12;;;;;;;16.05.2013;;;;;;;;
107.261;ssxopyegzrncavrqpj;DE;80333;Burghaun;;21;;;;;;;11.12.2012;;;;;;;;
107.266;mjwrekpbjxj;DE;31655;Steinhagen;;8;;;;;;;13.10.2009;;;;;;;;
107.267;ewakvreoyqqvahb;DE;86368;Oberstdorf;;22;;;;;;;07.03.2014;;;;;;;;
107.269;lrmevxccqibnmqfuv;DE;89155;Frankenthal;;22;;;;;;;;;;;;;;;
107.274;pibg;DE;82110;Magdeburg;;22;;;;;;;02.03.2012;;;;;;;;
107.275;nxpmcoz;DE;83075;Erlangen;;21;;;;;;;;;;;;;;;
107.277;zys;DE;86368;Bonn;;22;;;;;;;05.03.2012;;;;;;;;
107.281;tiujeaoivk;DE;86169;Schwandorf;;22;;;;;;;;;;;;;;;
107.283;aj;DE;86157;Brake;;22;;;;;;;;;;;;;;;
107.286;czmyduxsofmznbgiy;DE;4229;Krefeld;;44;;;;;;;31.07.2014;;;;;;;;
107.288;snqwmhcsxag;DE;8340;Orenburg;;44;;;;;;;21.10.2009;;;;;;;;
107.291;qebmg;DE;26721;Bremen;;15;;;;;;;18.01.2012;;;;;;;;
107.294;lfpie;DE;44623;Krizevci;;19;;;;;;;17.09.2014;;;;;;;;
107.299;vf;DE;4157;Berlin;;44;;;;;;;28.01.2010;;;;;;;;
107.300;hstoyyqk;DE;72766;Landau a.d Isar;;3;;;;;;;23.02.2011;;;;;;;;
107.301;gvdt;DE;74321;Bad Neuenahr;;33;;;;;;;;;;;;;;;
107.304;yci;DE;63500;Scheeßel;;90;;;;;;;;;;;;;;;
107.305;vsypbgbkjn;DE;63263;Emmerich;;6;;;;;;;19.12.2014;;;;;;;;
107.307;nhgvdpaerwflq;DE;55126;Valencia;;90;;;;;;;;;;;;;;;
107.310;hpixqaen;DE;85221;Köln;;21;;;;;;;;;;;;;;;
107.311;lpwzxeylkiboumnzpq;DE;53757;Florstadt;;14;;;;;;;18.03.2015;;;;;;;;
107.312;xu;DE;34537;Monheim;;11;;;;;;;13.11.2013;;;;;;;;
107.315;oohoqfqyxpyw;DE;63456;Hamburg;;6;;;;;;;;;;;;;;;
107.317;ynmrlmwsgaezdufook;DE;52134;München;;14;;;;;;;;;;;;;;;
107.318;vmrcdayagsr;DE;87435;Duisburg;;22;;;;;;;14.01.2014;;;;;;;;
107.319;elanqhxljm;DE;96047;Stuttgart;;10;;;;;;;21.04.2011;;;;;;;;
107.320;wtfoatvnaunxgmjtnz;DE;23730;Jud.Constanta;;5;;;;;;;15.07.2014;;;;;;;;
107.321;wzfsahjnwicgehqskm;DE;51379;Frankfurt/Main;;9;;;;;;;30.03.2015;;;;;;;;
107.322;ysfwrtdeadbqi;DE;8233;Bietigheim/Bissing.;;44;;;;;;;04.12.2014;;;;;;;;
107.323;eissxuzumqjdff;DE;91054;Braunschweig;;10;;;;;;;;;;;;;;;
107.326;lzmhndtroaoxgpjzgf;DE;48653;Neuwied;;8;;;;;;;24.06.2013;;;;;;;;
107.328;pe;DE;59174;Wehrheim;;4;;;;;;;25.02.2015;;;;;;;;
107.329;kiagpwci;DE;23775;Berlin;;5;;;;;;;;;;;;;;;
107.330;k;DE;38100;Würzburg;;12;;;;;;;04.05.2015;;;;;;;;
107.332;ni;DE;24113;Dresden;;5;;;;;;;23.10.2014;;;;;;;;
107.334;fqw;DE;76287;Waldershof;;2;;;;;;;;;;;;;;;
107.337;jfqoyowst;DE;44866;Bielefeld;;19;;;;;;;19.09.2014;;;;;;;;
107.338;gpftenwftlv;DE;7546;Mannheim/Feudenheim;;44;;;;;;;;;;;;;;;
107.339;pkgn;DE;54290;Fritzlar;;14;;;;;;;10.02.2015;;;;;;;;
107.341;cbkwijdwaedjzxd;DE;25335;Hamburg;;5;;;;;;;15.08.2014;;;;;;;;
107.342;eqlyszuqvecrs;DE;91052;Laupheim;;10;;;;;;;23.02.2015;;;;;;;;
107.343;fznxppumxo;DE;7629;Cottbus;;44;;;;;;;;;;;;;;;
107.344;lhckdy;DE;94315;Bremen;;10;;;;;;;23.12.2014;;;;;;;;
107.346;nexdaqrmqudikbf;DE;86641;Hamburg;;22;;;;;;;08.02.2012;;;;;;;;
107.348;oa;DE;85057;Frankfurt;;21;;;;;;;;;;;;;;;
107.350;uhfmzrf;DE;57572;Ganderkesee;;4;;;;;;;;;;;;;;;
107.351;iymwthj;DE;93180;Erlangen;;10;;;;;;;30.04.2012;;;;;;;;
107.352;u;DE;12167;Memmingen;;17;;;;;;;;;;;;;;;
107.354;gfsuhlokcogztudc;DE;92318;Rottach-Egern;;10;;;;;;;24.02.2014;;;;;;;;
107.356;gxhzhcapwhz;DE;24107;Altenkirchen;;5;;;;;;;;;;;;;;;
107.357;frnsrm;DE;23795;;;5;;;;;;;10.10.2014;;;;;;;;
107.358;szwe;DE;24214;Bad Kreuznach;;5;;;;;;;20.04.2015;;;;;;;;
107.359;xxbxgwuvlgs;DE;14770;Butzbach;;17;;;;;;;;;;;;;;;
107.360;fywujhyhpkjhgleuq;DE;73525;Berlin;;33;;;;;;;;;;;;;;;
107.364;cnmzvdqxmdohiuuvr;DE;78244;Creuzburg;;3;;;;;;;;;;;;;;;
107.365;dmqd;DE;4749;Rendsburg;;44;;;;;;;;;;;;;;;
107.367;jwoeligpoydmsqzul;DE;22527;Drochtersen;;5;;;;;;;;;;;;;;;
107.368;woznzsrdg;DE;66849;Oberstdorf;;2;;;;;;;15.07.2014;;;;;;;;
107.372;mlizbnukufot;DE;96047;Frankfurt;;10;;;;;;;27.04.2015;;;;;;;;
107.373;zfunytrxuwdnagbqm;DE;23611;Ronnenberg;;5;;;;;;;10.12.2014;;;;;;;;
107.376;u;DE;24941;Rheinfelden;;5;;;;;;;16.10.2014;;;;;;;;
107.377;urdjbciwhsr;DE;48429;Neuenkirchen;;8;;;;;;;03.06.2013;;;;;;;;
107.378;draeytjclfvxwfok;DE;30629;Aachen;;8;;;;;;;02.06.2009;;;;;;;;
107.380;zkcebabjsiqieb;DE;47167;Krefeld;;19;;;;;;;14.10.2014;;;;;;;;
107.381;lzbfjaleawkb;DE;44629;Hamburg;;19;;;;;;;23.06.2014;;;;;;;;
107.383;xzhoxe;DE;73079;Köln;;33;;;;;;;26.01.2015;;;;;;;;
107.384;ycw;DE;10437;Frankfurt;;17;;;;;;;02.11.2009;;;;;;;;
107.385;u;DE;79539;Benndorf;;3;;;;;;;09.03.2011;;;;;;;;
107.386;yowphvevntvjvaq;DE;16244;Köflach;;17;;;;;;;;;;;;;;;
107.388;hgbphviixog;DE;76185;Mettmann;;6;;;;;;;;;;;;;;;
107.390;fojfhsqvca;DE;65205;Nordstemmen;;7;;;;;;;;;;;;;;;
107.392;qllulvycl;DE;10585;Berlin;;17;;;;;;;07.10.2009;;;;;;;;
107.393;asp;DE;4158;Meschede;;44;;;;;;;;;;;;;;;
107.396;iilp;DE;33689;Walzbachtal-Jöhlingen;;8;;;;;;;09.04.2014;;;;;;;;
107.397;cqrwopjauldufmkc;DE;83115;Bad Münder;;21;;;;;;;;;;;;;;;
107.398;bsfywtdnovzpo;DE;67117;Brensbach;;6;;;;;;;02.12.2008;;;;;;;;
107.400;xr;DE;9212;Hof;;44;;;;;;;08.03.2010;;;;;;;;
107.401;fpsrmk;DE;50181;Flensburg;;14;;;;;;;;;;;;;;;
107.403;jbxqjib;DE;53111;Vilshofen-Alkofen;;14;;;;;;;;;;;;;;;
107.404;njz;DE;80339;Hamburg;;21;;;;;;;;;;;;;;;
107.405;j;DE;36448;Dortmund;;7;;;;;;;;;;;;;;;
107.406;hw;DE;29640;Stuttgart;;15;;;;;;;20.01.2015;;;;;;;;
107.407;wrxyixsm;DE;88709;Hof;;22;;;;;;;;;;;;;;;
107.410;yzesq;DE;45239;Berlin;;16;;;;;;;05.02.2015;;;;;;;;
107.412;shtwfvxacdwvxqvip;DE;36341;Krefeld;;7;;;;;;;;;;;;;;;
107.413;uvcgsxa;DE;24782;Seefeld;;5;;;;;;;;;;;;;;;
107.417;obsfhg;DE;35614;Laatzen;;7;;;;;;;;;;;;;;;
107.418;alav;DE;28857;Ingersheim;;15;;;;;;;11.01.2012;;;;;;;;
107.419;impnfwvu;DE;64283;Bielefeld;;6;;;;;;;28.04.2015;;;;;;;;
107.420;exybfefc;DE;15848;Gera;;17;;;;;;;;;;;;;;;
107.422;ejcywiltk;DE;66916;Hettstedt - OT Walbeck;;2;;;;;;;;;;;;;;;
107.424;lvokzwhjbgnu;DE;88512;Hamburg;;22;;;;;;;05.02.2014;;;;;;;;
107.426;tnulbehwl;DE;56253;Graz;;14;;;;;;;05.02.2013;;;;;;;;
107.427;chevgrha;DE;58455;Bergkamen;;4;;;;;;;23.01.2015;;;;;;;;
107.428;xowbtyiqzbgvff;DE;1917;Düsseldorf;;44;;;;;;;;;;;;;;;
107.430;lmzkj;DE;42329;Hagen;;16;;;;;;;14.05.2013;;;;;;;;
107.433;lwzsknsouwboiuo;DE;51063;Reinsdorf;;16;;;;;;;22.01.2015;;;;;;;;
107.434;s;DE;40217;Selters;;9;;;;;;;10.09.2013;;;;;;;;
107.435;rnp;DE;7743;Köln;;60;;;;;;;;;;;;;;;
107.436;qphahmcajh;DE;83083;Freiburg;;21;;;;;;;;;;;;;;;
107.439;wmtlclghzpgkveur;DE;64832;Ummendorf;;6;;;;;;;03.04.2013;;;;;;;;
107.440;vzvkhqeeiqo;DE;61184;Lingen;;7;;;;;;;28.01.2010;;;;;;;;
107.441;uztnwjg;DE;23758;Bad Aibling;;5;;;;;;;;;;;;;;;
107.445;lvhl;DE;87527;Pforzheim;;22;;;;;;;20.01.2014;;;;;;;;
107.447;wjkhpxggqpfhyqj;DE;79098;Seevetal;;3;;;;;;;24.04.2015;;;;;;;;
107.448;xwwnjvj;DE;8112;Wittenburg;;44;;;;;;;;;;;;;;;
107.501;qxuzeszfeoddpal;DE;8058;Taunusstein;;44;;;;;;;12.02.2010;;;;;;;;
107.502;nbfx;DE;57368;Rheda-Wiedenbrück;;4;;;;;;;;;;;;;;;
107.503;ipukcjljqdfkaxpdo;DE;45470;Berlin;;16;;;;;;;04.04.2014;;;;;;;;
107.507;wggbidaukfiok;DE;34123;Linz;;11;;;;;;;11.04.2013;;;;;;;;
107.511;ox;DE;23564;Kirchheim;;5;;;;;;;07.05.2012;;;;;;;;
107.514;o;DE;67482;Nagold;;2;;;;;;;;;;;;;;;
107.516;sntjdzjrqtvfe;DE;90449;Recke;;10;;;;;;;06.06.2013;;;;;;;;
107.517;qz;DE;79540;Wedemark;;3;;;;;;;27.10.2014;;;;;;;;
107.520;pmmywrcsmtrsfnu;DE;25355;Bonn;;5;;;;;;;25.10.2010;;;;;;;;
107.521;hlgetsokwowcd;DE;76771;Biedenkopf;;2;;;;;;;;;;;;;;;
107.522;t;DE;37115;Gundelfingen;;12;;;;;;;14.08.2014;;;;;;;;
107.524;ob;DE;45239;Hamburg;;60;;;;;;;28.10.2011;;;;;;;;
107.527;ljxx;DE;10961;Niebüll;;17;;;;;;;20.02.2009;;;;;;;;
107.528;eeesjfxoolyxikgkyx;DE;79599;München;;3;;;;;;;27.10.2014;;;;;;;;
107.529;cvzwmwanbzwxly;DE;50226;Heilbronn;;14;;;;;;;;;;;;;;;
107.530;tkskltcl;DE;49716;Holzgerlingen;;8;;;;;;;28.09.2011;;;;;;;;
107.531;cerqe;DE;60320;Ried/ Innkreis;;7;;;;;;;;;;;;;;;
107.532;yx;DE;77963;Bad Segeberg;;3;;;;;;;19.08.2010;;;;;;;;
107.534;t;DE;45128;Düsseldorf;;16;;;;;;;;;;;;;;;
107.535;vsiyrcplihsbjm;DE;36093;Hungen;;7;;;;;;;18.11.2014;;;;;;;;
107.539;ffbzvof;DE;34253;Trier;;11;;;;;;;27.04.2015;;;;;;;;
107.540;j;DE;25482;Düsseldorf;;5;;;;;;;14.05.2014;;;;;;;;
107.542;als;DE;25474;Frankfurt;;5;;;;;;;27.07.2011;;;;;;;;
107.543;swddw;DE;91126;Hamburg;;10;;;;;;;22.07.2014;;;;;;;;
107.544;acpakcpewmzwuq;DE;51491;Hamminkeln;;16;;;;;;;07.07.2011;;;;;;;;
107.545;jbtbmdkgtko;DE;44137;Waldmohr;;19;;;;;;;05.09.2013;;;;;;;;
107.547;zjoun;DE;94078;Barmstedt;;21;;;;;;;;;;;;;;;
107.548;g;DE;39326;Bad Essen;;12;;;;;;;;;;;;;;;
107.549;lhqada;DE;65205;Osnabrück;;7;;;;;;;25.03.2014;;;;;;;;
107.550;wgvbqna;DE;59872;Eiche;;4;;;;;;;;;;;;;;;
107.554;knqguu;DE;24146;Ingolstadt;;5;;;;;;;;;;;;;;;
107.555;mv;DE;49205;München;;8;;;;;;;03.06.2014;;;;;;;;
107.556;zetlnnoyzixa;DE;24119;Ludwigsburg;;5;;;;;;;;;;;;;;;
107.557;g;DE;95145;Ütersen;;10;;;;;;;17.11.2014;;;;;;;;
107.558;fytdqptexrwamramf;DE;99752;Salzburg;;12;;;;;;;;;;;;;;;
107.560;ayq;DE;4277;Salzhemmendorf;;44;;;;;;;12.07.2012;;;;;;;;
107.561;j;DE;14552;Berlin;;17;;;;;;;;;;;;;;;
107.562;doqemkfaojkbkif;DE;20251;Berlin;;5;;;;;;;;;;;;;;;
107.563;rcnmhmotgjbe;DE;49152;Hagenow;;90;;;;;;;;;;;;;;;
107.564;uawyoqe;DE;64739;Gaiberg;;6;;;;;;;29.07.2010;;;;;;;;
107.565;dcvivkdqsylhic;DE;46240;Stuttgart;;9;;;;;;;28.09.2009;;;;;;;;
107.566;xhfgynfcmxw;DE;86150;Velen;;22;;;;;;;15.03.2010;;;;;;;;
107.568;xuqktlk;DE;90562;Ostrau;;10;;;;;;;;;;;;;;;
107.569;xdwrmalsmwlxofrhne;DE;40219;Dresden;;9;;;;;;;;;;;;;;;
107.570;aizvpo;DE;4103;Berlin;;44;;;;;;;;;;;;;;;
107.571;qhyombolkvqdxhgp;DE;51467;Rottweil;;16;;;;;;;16.07.2009;;;;;;;;
107.573;n;DE;54558;Münster;;14;;;;;;;11.06.2012;;;;;;;;
